profile,edge,strategy,fake_sni,app_cut,app_delay_ms,verified,duration_ms,error,targets
uacSpoofer 1,104.19.230.21,full5,www.speedtest.net,0,0,False,5931.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5509.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,www.speedtest.net,0,0,False,5941.1,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,www.speedtest.net,0,0,False,5727.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5504.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,www.speedtest.net,0,0,False,5914.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5504.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,www.speedtest.net,0,0,False,5958.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5532.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,www.speedtest.net,0,0,False,5740.1,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5508.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,www.speedtest.net,0,0,False,5927.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5514.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,www.speedtest.net,0,0,False,5916.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5502.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,full5,community.cloudflare.com,0,0,False,5915.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5505.3, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,community.cloudflare.com,0,0,False,5925.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5512.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,community.cloudflare.com,0,0,False,5959.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5520.8, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,community.cloudflare.com,0,0,False,5718.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,community.cloudflare.com,0,0,False,5915.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5502.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,community.cloudflare.com,0,0,False,5921.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,community.cloudflare.com,0,0,False,5743.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5515.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,community.cloudflare.com,0,0,False,5919.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5509.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,full5,www.hcaptcha.com,0,0,False,5914.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5502.8, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,www.hcaptcha.com,0,0,False,5959.1,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5508.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,www.hcaptcha.com,0,0,False,5924.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5508.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,www.hcaptcha.com,0,0,False,5925.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5512.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,www.hcaptcha.com,0,0,False,5920.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,www.hcaptcha.com,0,0,False,5938.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5505.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,www.hcaptcha.com,0,0,False,5722.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5511.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,www.hcaptcha.com,0,0,False,5915.8,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5504.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,full5,support.cloudflare.com,0,0,False,5916.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5502.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,support.cloudflare.com,0,0,False,5916.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,support.cloudflare.com,0,0,False,5924.8,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5511.3, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,support.cloudflare.com,0,0,False,5922.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5503.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,support.cloudflare.com,0,0,False,5745.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,support.cloudflare.com,0,0,False,5919.8,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,support.cloudflare.com,0,0,False,5726.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5515.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,support.cloudflare.com,0,0,False,5948.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5516.6, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,188.114.97.2,full5,www.speedtest.net,0,0,False,5929.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.25.122.225,full5,www.speedtest.net,0,0,False,5943.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,188.114.97.2,full5,www.speedtest.net,0,0,False,5922.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,190.93.245.235,full5,www.speedtest.net,0,0,False,5945.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5512.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
